chart_week,title,performer
1974-09-28,Rock Me Gently,Andy Kim
1974-10-05,I Honestly Love You,Olivia Newton-John
1974-10-19,Nothing From Nothing,Billy Preston
1974-10-26,Then Came You,Dionne Warwicke & Spinners
1974-11-02,You Haven't Done Nothin,Stevie Wonder
1974-11-09,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
1974-11-16,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band
1974-11-23,I Can Help,Billy Swan
1974-12-07,Kung Fu Fighting,Carl Douglas
1974-12-21,Cat's In The Cradle,Harry Chapin
1974-12-28,Angie Baby,Helen Reddy
1975-01-04,Lucy In The Sky With Diamonds,Elton John
1975-01-18,Mandy,Barry Manilow
1975-01-25,Please Mr. Postman,Carpenters
1975-02-01,Laughter In The Rain,Neil Sedaka
1975-02-08,Fire,Ohio Players
1975-02-15,You're No Good,Linda Ronstadt
1975-02-22,Pick Up The Pieces,AWB
1975-03-01,Best Of My Love,Eagles
1975-03-08,Have You Never Been Mellow,Olivia Newton-John
1975-03-15,Black Water,The Doobie Brothers
1975-03-22,My Eyes Adored You,Frankie Valli
1975-03-29,Lady Marmalade,Labelle
1975-04-05,Lovin' You,Minnie Riperton
1975-04-12,Philadelphia Freedom,The Elton John Band
1975-04-26,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
1975-05-03,He Don't Love You (Like I Love You),Tony Orlando & Dawn
1975-05-24,Shining Star,"Earth, Wind & Fire"
1975-05-31,Before The Next Teardrop Falls,Freddy Fender
1975-06-07,Thank God I'm A Country Boy,John Denver
1975-06-14,Sister Golden Hair,America
1975-06-21,Love Will Keep Us Together,The Captain & Tennille
1975-07-19,Listen To What The Man Said,Wings
1975-07-26,The Hustle,Van McCoy & The Soul City Symphony
1975-08-02,One Of These Nights,Eagles
1975-08-09,Jive Talkin',Bee Gees
1975-08-23,Fallin' In Love,"Hamilton, Joe Frank & Reynolds"
1975-08-30,Get Down Tonight,KC And The Sunshine Band
1975-09-06,Rhinestone Cowboy,Glen Campbell
1975-09-20,Fame,David Bowie
1975-09-27,I'm Sorry,John Denver
1975-10-11,Bad Blood,Neil Sedaka
1975-11-01,Island Girl,Elton John
1975-11-22,That's The Way (I Like It),KC And The Sunshine Band
1975-11-29,"Fly, Robin, Fly",Silver Convention
1975-12-27,Let's Do It Again,The Staple Singers
1976-01-03,Saturday Night,Bay City Rollers
1976-01-10,Convoy,C.W. McCall
1976-01-17,I Write The Songs,Barry Manilow
1976-01-24,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
1976-01-31,Love Rollercoaster,Ohio Players
1976-02-07,50 Ways To Leave Your Lover,Paul Simon
1976-02-28,Theme From S.W.A.T.,Rhythm Heritage
1976-03-06,Love Machine (Part 1),The Miracles
1976-03-13,"December, 1963 (Oh, What a Night)",The 4 Seasons
1976-04-03,Disco Lady,Johnnie Taylor
1976-05-01,Let Your Love Flow,Bellamy Brothers
1976-05-08,Welcome Back,John Sebastian
1976-05-15,Boogie Fever,The Sylvers
1976-05-22,Silly Love Songs,Wings
1976-05-29,Love Hangover,Diana Ross
1976-07-10,Afternoon Delight,Starland Vocal Band
1976-07-24,Kiss And Say Goodbye,The Manhattans
1976-08-07,Don't Go Breaking My Heart,Elton John & Kiki Dee
1976-09-04,You Should Be Dancing,Bee Gees
1976-09-11,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band
1976-09-18,Play That Funky Music,Wild Cherry
1976-10-09,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band
1976-10-16,Disco Duck (Part I),Rick Dees & His Cast Of Idiots
1976-10-23,If You Leave Me Now,Chicago
1976-11-06,Rock'n Me,Steve Miller
1976-11-13,Tonight's The Night (Gonna Be Alright),Rod Stewart
1977-03-12,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand
1977-03-26,Rich Girl,Daryl Hall John Oates
1977-04-09,Dancing Queen,ABBA
1977-04-16,Don't Give Up On Us,David Soul
1977-04-23,Don't Leave Me This Way,Thelma Houston
1977-04-30,Southern Nights,Glen Campbell
1977-05-07,Hotel California,Eagles
1977-05-14,When I Need You,Leo Sayer
1977-05-21,Sir Duke,Stevie Wonder
1977-06-11,I'm Your Boogie Man,KC And The Sunshine Band
1977-06-18,Dreams,Fleetwood Mac
1977-06-25,Got To Give It Up (Pt. I),Marvin Gaye
1977-07-02,Gonna Fly Now,Bill Conti
1977-07-09,Undercover Angel,Alan O'Day
1977-07-16,Da Doo Ron Ron,Shaun Cassidy
1977-07-23,Looks Like We Made It,Barry Manilow
1977-07-30,I Just Want To Be Your Everything,Andy Gibb
1977-08-20,Best Of My Love,The Emotions
1977-10-01,Star Wars Theme/Cantina Band,Meco
1977-10-15,You Light Up My Life,Debby Boone
1977-12-24,How Deep Is Your Love,Bee Gees
1978-01-14,Baby Come Back,Player
1978-02-04,Stayin' Alive,Bee Gees
1978-03-04,(Love Is) Thicker Than Water,Andy Gibb
1978-03-18,Night Fever,Bee Gees
1978-05-13,If I Can't Have You,Yvonne Elliman
1978-05-20,With A Little Luck,Wings
1978-06-03,"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams
1978-06-10,You're The One That I Want,John Travolta & Olivia Newton-John
1978-06-17,Shadow Dancing,Andy Gibb
1978-08-05,Miss You,The Rolling Stones
1978-08-12,Three Times A Lady,Commodores
1978-08-26,Grease,Frankie Valli
1978-09-09,Boogie Oogie Oogie,A Taste Of Honey
1978-09-30,Kiss You All Over,Exile
1978-10-28,Hot Child In The City,Nick Gilder
1978-11-04,You Needed Me,Anne Murray
1978-11-11,MacArthur Park,Donna Summer
1978-12-02,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
1978-12-09,Le Freak,Chic
1979-01-06,Too Much Heaven,Bee Gees
1979-02-10,Da Ya Think I'm Sexy?,Rod Stewart
1979-03-10,I Will Survive,Gloria Gaynor
1979-03-24,Tragedy,Bee Gees
1979-04-14,What A Fool Believes,The Doobie Brothers
1979-04-21,Knock On Wood,Amii Stewart
1979-04-28,Heart Of Glass,Blondie
1979-05-05,Reunited,Peaches & Herb
1979-06-02,Hot Stuff,Donna Summer
1979-06-09,Love You Inside Out,Bee Gees
1979-06-30,Ring My Bell,Anita Ward
1979-07-14,Bad Girls,Donna Summer
1979-08-18,Good Times,Chic
1979-08-25,My Sharona,The Knack
1979-10-06,Sad Eyes,Robert John
1979-10-13,Don't Stop 'til You Get Enough,Michael Jackson
1979-10-20,Rise,Herb Alpert
1979-11-03,Pop Muzik,M
1979-11-10,Heartache Tonight,Eagles
1979-11-17,Still,Commodores
1979-11-24,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer
1979-12-08,Babe,Styx
1979-12-22,Escape (The Pina Colada Song),Rupert Holmes
1980-01-05,Please Don't Go,KC And The Sunshine Band
1980-01-19,Rock With You,Michael Jackson
1980-02-16,Do That To Me One More Time,Captain & Tennille
1980-02-23,Crazy Little Thing Called Love,Queen
1980-03-22,Another Brick In The Wall (Part II),Pink Floyd
1980-04-19,Call Me,Blondie
1980-05-31,Funkytown,"Lipps, Inc."
1980-06-28,Coming Up (Live At Glasgow),Paul McCartney And Wings
1980-07-19,It's Still Rock And Roll To Me,Billy Joel
1980-08-02,Magic,Olivia Newton-John
1980-08-30,Sailing,Christopher Cross
1980-09-06,Upside Down,Diana Ross
1980-10-04,Another One Bites The Dust,Queen
1980-10-25,Woman In Love,Barbra Streisand
1980-11-15,Lady,Kenny Rogers
1980-12-27,(Just Like) Starting Over,John Lennon
1981-01-31,The Tide Is High,Blondie
1981-02-07,Celebration,Kool & The Gang
1981-02-21,9 To 5,Dolly Parton
1981-02-28,I Love A Rainy Night,Eddie Rabbitt
1981-03-21,Keep On Loving You,REO Speedwagon
1981-03-28,Rapture,Blondie
1981-04-11,Kiss On My List,Daryl Hall John Oates
1981-05-02,Morning Train (Nine To Five),Sheena Easton
1981-05-16,Bette Davis Eyes,Kim Carnes
1981-06-20,Medley,Stars On 45
1981-07-25,The One That You Love,Air Supply
1981-08-01,Jessie's Girl,Rick Springfield
1981-08-15,Endless Love,Diana Ross & Lionel Richie
1981-10-17,Arthur's Theme (Best That You Can Do),Christopher Cross
1981-11-07,Private Eyes,Daryl Hall John Oates
1981-11-21,Physical,Olivia Newton-John
1982-01-30,I Can't Go For That (No Can Do),Daryl Hall John Oates
1982-02-06,Centerfold,The J. Geils Band
1982-03-20,I Love Rock 'N Roll,Joan Jett & the Blackhearts
1982-05-08,Chariots Of Fire - Titles,Vangelis
1982-05-15,Ebony And Ivory,Paul McCartney And Stevie Wonder
1982-07-03,Don't You Want Me,The Human League
1982-07-24,Eye Of The Tiger,Survivor
1982-09-04,Abracadabra,The Steve Miller Band
1982-09-11,Hard To Say I'm Sorry,Chicago
1982-10-02,Jack & Diane,John Cougar
1982-10-30,Who Can It Be Now?,Men At Work
1982-11-06,Up Where We Belong,Joe Cocker And Jennifer Warnes
1982-11-27,Truly,Lionel Richie
1982-12-11,Mickey,Toni Basil
1982-12-18,Maneater,Daryl Hall John Oates
1983-01-15,Down Under,Men At Work
1983-02-05,Africa,Toto
1983-02-19,"Baby, Come To Me",Patti Austin A Duet With James Ingram
1983-03-05,Billie Jean,Michael Jackson
1983-04-23,Come On Eileen,Dexys Midnight Runners
1983-04-30,Beat It,Michael Jackson
1983-05-21,Let's Dance,David Bowie
1983-05-28,Flashdance...What A Feeling,Irene Cara
1983-07-09,Every Breath You Take,The Police
1983-09-03,Sweet Dreams (Are Made Of This),Eurythmics
1983-09-10,Maniac,Michael Sembello
1983-09-24,Tell Her About It,Billy Joel
1983-10-01,Total Eclipse Of The Heart,Bonnie Tyler
1983-10-29,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
1983-11-12,All Night Long (All Night),Lionel Richie
1983-12-10,Say Say Say,Paul McCartney And Michael Jackson
1984-01-21,Owner Of A Lonely Heart,Yes
1984-02-04,Karma Chameleon,Culture Club
1984-02-25,Jump,Van Halen
1984-03-31,Footloose,Kenny Loggins
1984-04-21,Against All Odds (Take A Look At Me Now),Phil Collins
1984-05-12,Hello,Lionel Richie
1984-05-26,Let's Hear It For The Boy,Deniece Williams
1984-06-09,Time After Time,Cyndi Lauper
1984-06-23,The Reflex,Duran Duran
1984-07-07,When Doves Cry,Prince
1984-08-11,Ghostbusters,Ray Parker Jr.
1984-09-01,What's Love Got To Do With It,Tina Turner
1984-09-22,Missing You,John Waite
1984-09-29,Let's Go Crazy,Prince And The Revolution
1984-10-13,I Just Called To Say I Love You,Stevie Wonder
1984-11-03,Caribbean Queen (No More Love On The Run),Billy Ocean
1984-11-17,Wake Me Up Before You Go-Go,Wham!
1984-12-08,Out Of Touch,Daryl Hall John Oates
1984-12-22,Like A Virgin,Madonna
1985-02-02,I Want To Know What Love Is,Foreigner
1985-02-16,Careless Whisper,Wham! Featuring George Michael
1985-03-09,Can't Fight This Feeling,REO Speedwagon
1985-03-30,One More Night,Phil Collins
1985-04-13,We Are The World,USA For Africa
1985-05-11,Crazy For You,Madonna
1985-05-18,Don't You (Forget About Me),Simple Minds
1985-05-25,Everything She Wants,Wham!
1985-06-08,Everybody Wants To Rule The World,Tears For Fears
1985-06-22,Heaven,Bryan Adams
1985-07-06,Sussudio,Phil Collins
1985-07-13,A View To A Kill,Duran Duran
1985-07-27,Everytime You Go Away,Paul Young
1985-08-03,Shout,Tears For Fears
1985-08-24,The Power Of Love,Huey Lewis & The News
1985-09-07,St. Elmo's Fire (Man In Motion),John Parr
1985-09-21,Money For Nothing,Dire Straits
1985-10-12,Oh Sheila,Ready For The World
1985-10-19,Take On Me,a-ha
1985-10-26,Saving All My Love For You,Whitney Houston
1985-11-02,Part-Time Lover,Stevie Wonder
1985-11-09,Miami Vice Theme,Jan Hammer
1985-11-16,We Built This City,Starship
1985-11-30,Separate Lives,Phil Collins and Marilyn Martin
1985-12-07,Broken Wings,Mr. Mister
1985-12-21,"Say You, Say Me",Lionel Richie
1986-01-18,That's What Friends Are For,Dionne & Friends
1986-02-15,How Will I Know,Whitney Houston
1986-03-01,Kyrie,Mr. Mister
1986-03-15,Sara,Starship
1986-03-22,These Dreams,Heart
1986-03-29,Rock Me Amadeus,Falco
1986-04-19,Kiss,Prince And The Revolution
1986-05-03,Addicted To Love,Robert Palmer
1986-05-10,West End Girls,Pet Shop Boys
1986-05-17,Greatest Love Of All,Whitney Houston
1986-06-07,Live To Tell,Madonna
1986-06-14,On My Own,Patti LaBelle & Michael McDonald
1986-07-05,There'll Be Sad Songs (To Make You Cry),Billy Ocean
1986-07-12,Holding Back The Years,Simply Red
1986-07-19,Invisible Touch,Genesis
1986-07-26,Sledgehammer,Peter Gabriel
1986-08-02,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera
1986-08-16,Papa Don't Preach,Madonna
1986-08-30,Higher Love,Steve Winwood
1986-09-06,Venus,Bananarama
1986-09-13,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin
1986-09-20,Stuck With You,Huey Lewis & The News
1986-10-11,When I Think Of You,Janet Jackson
1986-10-25,True Colors,Cyndi Lauper
1986-11-08,Amanda,Boston
1986-11-22,Human,The Human League
1986-11-29,You Give Love A Bad Name,Bon Jovi
1986-12-06,The Next Time I Fall,Peter Cetera With Amy Grant
1986-12-13,The Way It Is,Bruce Hornsby & The Range
1986-12-20,Walk Like An Egyptian,The Bangles
1987-01-17,Shake You Down,Gregory Abbott
1987-01-24,At This Moment,Billy Vera & The Beaters
1987-02-07,Open Your Heart,Madonna
1987-02-14,Livin' On A Prayer,Bon Jovi
1987-03-14,Jacob's Ladder,Huey Lewis & The News
1987-03-21,Lean On Me,Club Nouveau
1987-04-04,Nothing's Gonna Stop Us Now,Starship
1987-04-18,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael
1987-05-02,(I Just) Died In Your Arms,Cutting Crew
1987-05-16,With or Without You,U2
1987-06-06,You Keep Me Hangin' On,Kim Wilde
1987-06-13,Always,Atlantic Starr
1987-06-20,Head To Toe,Lisa Lisa And Cult Jam
1987-06-27,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
1987-07-11,Alone,Heart
1987-08-01,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger
1987-08-08,I Still Haven't Found What I'm Looking For,U2
1987-08-22,Who's That Girl,Madonna
1987-08-29,La Bamba,Los Lobos
1987-09-19,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett
1987-09-26,Didn't We Almost Have It All,Whitney Houston
1987-10-10,Here I Go Again,Whitesnake
1987-10-17,Lost In Emotion,Lisa Lisa And Cult Jam
1987-10-24,Bad,Michael Jackson
1987-11-07,I Think We're Alone Now,Tiffany
1987-11-21,Mony Mony,Billy Idol
1987-11-28,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes
1987-12-05,Heaven Is A Place On Earth,Belinda Carlisle
1987-12-12,Faith,George Michael
1988-01-09,So Emotional,Whitney Houston
1988-01-16,Got My Mind Set On You,George Harrison
1988-01-23,The Way You Make Me Feel,Michael Jackson
1988-01-30,Need You Tonight,INXS
1988-02-06,Could've Been,Tiffany
1988-02-20,Seasons Change,Expose
1988-02-27,Father Figure,George Michael
1988-03-12,Never Gonna Give You Up,Rick Astley
1988-03-26,Man In The Mirror,Michael Jackson
1988-04-09,"Get Outta My Dreams, Get Into My Car",Billy Ocean
1988-04-23,Where Do Broken Hearts Go,Whitney Houston
1988-05-07,Wishing Well,Terence Trent D'Arby
1988-05-14,Anything For You,Gloria Estefan & Miami Sound Machine
1988-05-28,One More Try,George Michael
1988-06-18,Together Forever,Rick Astley
1988-06-25,Foolish Beat,Debbie Gibson
1988-07-02,Dirty Diana,Michael Jackson
1988-07-09,The Flame,Cheap Trick
1988-07-23,Hold On To The Nights,Richard Marx
1988-07-30,Roll With It,Steve Winwood
1988-08-27,Monkey,George Michael
1988-09-10,Sweet Child O' Mine,Guns N' Roses
1988-09-24,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin
1988-10-08,Love Bites,Def Leppard
1988-10-15,Red Red Wine,UB40
1988-10-22,Groovy Kind Of Love,Phil Collins
1988-11-05,"Kokomo (From""Cocktail"" )",The Beach Boys
1988-11-12,"Wild, Wild West",The Escape Club
1988-11-19,Bad Medicine,Bon Jovi
1988-12-03,"Baby, I Love Your Way/Freebird Medley",Will To Power
1988-12-10,Look Away,Chicago
1988-12-24,Every Rose Has Its Thorn,Poison
1989-01-14,My Prerogative,Bobby Brown
1989-01-21,Two Hearts,Phil Collins
1989-02-04,When I'm With You,Sheriff
1989-02-11,Straight Up,Paula Abdul
1989-03-04,Lost In Your Eyes,Debbie Gibson
1989-03-25,The Living Years,Mike + The Mechanics
1989-04-01,Eternal Flame,The Bangles
1989-04-08,The Look,Roxette
1989-04-15,She Drives Me Crazy,Fine Young Cannibals
1989-04-22,Like A Prayer,Madonna
1989-05-13,I'll Be There For You,Bon Jovi
1989-05-20,Forever Your Girl,Paula Abdul
1989-06-03,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-06-10,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1989-06-17,I'll Be Loving You (Forever),New Kids On The Block
1989-06-24,Satisfied,Richard Marx
1989-07-01,Baby Don't Forget My Number,Milli Vanilli
1989-07-08,Good Thing,Fine Young Cannibals
1989-07-15,If You Don't Know Me By Now,Simply Red
1989-07-22,Toy Soldiers,Martika
1989-08-05,"Batdance (From ""Batman"")",Prince
1989-08-12,Right Here Waiting,Richard Marx
1989-09-02,Cold Hearted,Paula Abdul
1989-09-09,Hangin' Tough,New Kids On The Block
1989-09-16,Don't Wanna Lose You,Gloria Estefan
1989-09-23,Girl I'm Gonna Miss You,Milli Vanilli
1989-10-07,Miss You Much,Janet Jackson
1989-11-04,Listen To Your Heart,Roxette
1989-11-11,When I See You Smile,Bad English
1989-11-25,Blame It On The Rain,Milli Vanilli
1989-12-09,We Didn't Start The Fire,Billy Joel
1989-12-23,Another Day In Paradise,Phil Collins
1990-01-20,How Am I Supposed To Live Without You,Michael Bolton
1990-02-10,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-03-03,Escapade,Janet Jackson
1990-03-24,Black Velvet,Alannah Myles
1990-04-07,Love Will Lead You Back,Taylor Dayne
1990-04-14,I'll Be Your Everything,Tommy Page
1990-04-21,Nothing Compares 2 U,Sinead O'Connor
1990-05-19,Vogue,Madonna
1990-06-09,Hold On,Wilson Phillips
1990-06-16,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-30,Step By Step,New Kids On The Block
1990-07-21,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-08-04,Vision Of Love,Mariah Carey
1990-09-01,If Wishes Came True,Sweet Sensation
1990-09-08,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-15,Release Me,Wilson Phillips
1990-09-29,(Can't Live Without Your) Love And Affection,Nelson
1990-10-06,Close To You,Maxi Priest
1990-10-13,Praying For Time,George Michael
1990-10-20,I Don't Have The Heart,James Ingram
1990-10-27,Black Cat,Janet Jackson
1990-11-03,Ice Ice Baby,Vanilla Ice
1990-11-10,Love Takes Time,Mariah Carey
1990-12-01,I'm Your Baby Tonight,Whitney Houston
1990-12-08,Because I Love You (The Postman Song),Stevie B
1991-01-05,Justify My Love,Madonna
1991-01-19,Love Will Never Do (Without You),Janet Jackson
